1 	71
2 	48
3 	31
4 	33
5 	18
6 	23
7 	26
8 	21
9 	8
10 	9
11 	15
12 	10
13 	6
14 	14
15 	14
16 	12
17 	10
18 	5
19 	11
20 	11
21 	4
22 	9
23 	10
24 	5
25 	10
26 	5
27 	12
28 	13
29 	6
30 	7
31 	12
32 	15
33 	5
34 	4
35 	6
36 	14
37 	14
38 	6
39 	5
40 	11
41 	10
42 	6
43 	10
44 	9
45 	6
46 	10
47 	5
48 	5
49 	14
50 	8
51 	3
52 	3
53 	5
54 	11
55 	3
56 	3
57 	4
58 	9
59 	7
60 	8
61 	3
62 	7
63 	7
64 	6
65 	2
66 	3
67 	5
68 	4
69 	4
70 	3
71 	2
72 	2
73 	4
74 	7
75 	5
76 	5
77 	4
78 	1
79 	9
80 	8
81 	1
82 	6
83 	5
84 	3
85 	2
86 	3
87 	3
88 	6
89 	1
90 	5
91 	4
92 	1
93 	2
94 	3
95 	1
96 	5
97 	4
98 	1
99 	5
100 	1
101 	2
102 	2
103 	4
104 	2
106 	2
107 	2
108 	3
109 	1
110 	5
111 	2
112 	2
114 	3
115 	1
116 	3
117 	3
118 	4
119 	1
120 	1
121 	1
124 	6
126 	1
127 	2
128 	1
130 	1
132 	1
133 	4
134 	1
135 	1
136 	1
137 	1
138 	2
139 	1
140 	2
141 	3
142 	1
144 	3
145 	1
146 	1
148 	1
149 	1
155 	1
156 	1
158 	1
161 	1
162 	1
163 	2
164 	1
165 	1
166 	2
167 	1
169 	2
170 	2
174 	1
175 	2
178 	1
181 	1
193 	2
195 	1
199 	1
201 	1
202 	1
203 	2
204 	1
205 	1
208 	1
209 	1
213 	1
215 	1
216 	1
218 	2
219 	3
223 	1
230 	1
233 	1
234 	2
236 	1
238 	1
240 	1
242 	1
249 	1
252 	1
263 	1
272 	1
275 	1
280 	1
302 	1
308 	1
348 	1
356 	1
369 	1
373 	1
379 	1
546 	1
